feature,importance,std
odm_071724_ortho.vari,0.12236629523275082,0.00041632636644681686
odm_071724_ortho.3,0.04455171596464043,9.805618659487997e-05
odm_071724_ortho.1.27x27mean,0.21760665796065365,0.00023555400148517552
odm_071724_dsm,0.7385086249181624,0.0006038898242609308
odm_071724_slope,0.043419547818981316,0.00019120051612862984
odm_071724_aspect,0.0029726741835108816,6.356924198334459e-05
geomorphon,0.0013706909523466537,2.589790291781756e-05
odm_071724_ortho.2.7x7stddev,0.01122655672855144,0.00010854748420472212
odm_071724_pcurv,0.00029572419837873285,9.053832746426467e-06
odm_071724_tcurv,5.4204463483453756e-05,4.88017744905303e-06
